age_group,total_2010,white_2010,white_pct_2010,black_2010,black_pct_2010,native_american_2010,native_american_pct_2010,asian_2010,asian_pct_2010,islander_2010,islander_pct_2010,multi_2010,multi_pct_2010,hispanic_2010,hispanic_pct_2010,total_2013,white_2013,white_pct_2013,black_2013,black_pct_2013,native_american_2013,native_american_pct_2013,asian_2013,asian_pct_2013,islander_2013,islander_pct_2013,multi_2013,multi_pct_2013,hispanic_2013,hispanic_pct_2013,total_2014,white_2014,white_pct_2014,black_2014,black_pct_2014,native_american_2014,native_american_pct_2014,asian_2014,asian_pct_2014,islander_2014,islander_pct_2014,multi_2014,multi_pct_2014,hispanic_2014,hispanic_pct_2014
0-4,21089,6082,28.83967945,12133,57.53236284,27,0.12802883,457,2.167006496,1,0.004741809,1118,5.301341932,1271,6.026838636,21332,7315,34.2912057,11069,51.88918057,48,0.225014063,475,2.226701669,4,0.018751172,1093,5.123757735,1328,6.225389087,21205,7585,35.7698656,10680,50.36547984,54,0.254656921,512,2.414524876,4,0.018863476,1090,5.1402971,1280,6.036312191
2,17379,4124,23.72978883,11271,64.8541343,35,0.201392485,387,2.226825479,2,0.011508142,700,4.027849704,860,4.948501065,18097,5117,28.27540476,10710,59.18107974,20,0.110515555,347,1.91744488,3,0.016577333,835,4.614024424,1065,5.884953307,18187,5327,29.29015231,10505,57.7610381,21,0.115467092,316,1.737504811,4,0.021993732,895,4.921097487,1119,6.152746467
3,16911,3730,22.05664952,11515,68.09177458,37,0.218792502,377,2.229318195,2,0.011826622,583,3.447460233,667,3.944178345,15785,3894,24.66898955,10201,64.62464365,28,0.177383592,327,2.07158695,4,0.025340513,624,3.953120051,707,4.478935698,15717,4025,25.60921295,9975,63.46631036,26,0.165425972,323,2.055099574,2,0.012725075,616,3.919323026,750,4.771903035
4,22551,5701,25.28047537,14796,65.6112811,32,0.141900581,707,3.135115959,2,0.008868786,530,2.350228371,783,3.472129839,18260,4964,27.18510405,11404,62.45345016,25,0.136911281,663,3.630887185,4,0.021905805,481,2.634173056,719,3.937568456,17335,4857,28.01845976,10542,60.81338333,24,0.138448226,682,3.934237093,4,0.023074704,494,2.849725988,732,4.222670897
5,28852,13143,45.55316789,12035,41.71287952,66,0.228753639,1695,5.874809372,17,0.058921392,564,1.954803826,1332,4.616664356,26627,9526,35.77571638,13881,52.1312953,60,0.225335186,1367,5.133886656,10,0.037555864,633,2.377286213,1150,4.3189244,25514,8910,34.92200361,13615,53.36285961,49,0.192051423,1211,4.746413734,4,0.015677667,623,2.441796661,1102,4.319197303
6,31991,17539,54.82479447,10904,34.08458629,62,0.193804508,1490,4.657559939,10,0.031258792,601,1.878653371,1385,4.329342628,32333,17731,54.83870968,10939,33.83230755,60,0.185568923,1613,4.988711224,25,0.077320385,583,1.803111372,1382,4.274270869,32490,17429,53.64419821,11304,34.79224377,55,0.169282856,1665,5.12465374,23,0.070791013,612,1.88365651,1402,4.3151739
7,25670,13214,51.47643163,9717,37.85352552,58,0.225944683,1024,3.989092326,2,0.007791196,446,1.737436697,1209,4.709777951,28893,15803,54.6949088,9988,34.56892673,64,0.221506939,1241,4.295157997,3,0.010383138,515,1.782438653,1279,4.426677742,29217,16176,55.36502721,9971,34.12739159,72,0.246431872,1248,4.271485779,3,0.010267995,503,1.721600438,1244,4.257795119
8,20813,9247,44.42896267,9463,45.46677557,59,0.283476673,792,3.805313986,4,0.019218758,371,1.782539759,877,4.213712583,21090,10235,48.53010906,8679,41.15220484,52,0.246562352,762,3.613086771,1,0.004741584,353,1.673779042,1008,4.779516358,21654,10652,49.19183523,8705,40.20042486,53,0.244758474,760,3.509744158,0,0,402,1.856469936,1082,4.996767341
9,19431,8321,42.82332356,9564,49.22031805,45,0.231588698,545,2.804796459,3,0.015439247,238,1.224846894,715,3.679687098,19339,8571,44.31976834,8912,46.08304462,49,0.253374011,705,3.64548322,4,0.020683593,348,1.799472568,750,3.878173639,19170,8396,43.79760042,8891,46.37976004,54,0.281690141,712,3.714136672,4,0.020865936,340,1.773604591,773,4.032342201
10,21641,9586,44.29555011,10829,50.0392773,50,0.231042928,385,1.779030544,5,0.023104293,254,1.173698073,532,2.458296752,19617,8557,43.62032931,9640,49.14105113,50,0.254880971,472,2.406076362,5,0.025488097,222,1.131671509,671,3.420502625,18934,8258,43.61466146,9225,48.72187599,46,0.242949192,511,2.698848632,4,0.021126017,215,1.135523397,675,3.565015316
