SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,29,071,Missouri,Franklin County,1,0,101492,50303,51189,48921,49806,495,378,164,175,167,251,15,25,541,554,49454,50345,677,595,435,433,273,351,30,46,49580,50515,48265,49199,491,372,145,146,164,249,10,20,505,529,48764,49715,660,581,400,388,257,345,25,39,723,674,656,607,4,6,19,29,3,2,5,5,36,25,690,630,17,14,35,45,16,6,5,7
050,29,071,Missouri,Franklin County,1,1,6524,3323,3201,3167,3008,34,42,7,11,14,13,1,3,100,124,3265,3128,98,119,31,41,34,31,1,11,3228,3118,3087,2935,32,41,7,8,14,13,1,3,87,118,3172,3049,90,116,26,34,30,30,1,11,95,83,80,73,2,1,0,3,0,0,0,0,13,6,93,79,8,3,5,7,4,1,0,0
050,29,071,Missouri,Franklin County,1,2,6921,3579,3342,3462,3208,30,33,11,12,11,18,2,1,63,70,3525,3278,64,68,29,32,24,34,2,2,3478,3274,3370,3148,30,33,7,9,11,18,1,1,59,65,3429,3213,63,68,24,26,22,33,1,1,101,68,92,60,0,0,4,3,0,0,1,0,4,5,96,65,1,0,5,6,2,1,1,1
050,29,071,Missouri,Franklin County,1,3,7246,3746,3500,3622,3361,32,30,14,21,19,17,0,3,59,68,3681,3428,53,71,41,43,33,27,2,4,3689,3424,3571,3293,31,29,12,18,19,17,0,2,56,65,3627,3357,52,70,38,38,31,27,2,2,57,76,51,68,1,1,2,3,0,0,0,1,3,3,54,71,1,1,3,5,2,0,0,2
050,29,071,Missouri,Franklin County,1,4,7066,3637,3429,3495,3314,40,29,22,16,19,16,2,2,59,52,3553,3362,60,42,44,44,38,27,6,6,3582,3350,3448,3240,40,28,20,13,18,16,1,1,55,52,3503,3288,58,41,39,41,35,27,5,5,55,79,47,74,0,1,2,3,1,0,1,1,4,0,50,74,2,1,5,3,3,0,1,1
050,29,071,Missouri,Franklin County,1,5,5781,2932,2849,2827,2764,49,23,14,12,7,15,3,3,32,32,2858,2796,59,41,29,18,13,24,6,3,2865,2795,2764,2718,49,23,12,8,7,15,2,2,31,29,2795,2747,59,39,26,13,12,24,5,2,67,54,63,46,0,0,2,4,0,0,1,1,1,3,63,49,0,2,3,5,1,0,1,1
050,29,071,Missouri,Franklin County,1,6,6130,3096,3034,3006,2956,40,16,5,11,14,24,1,1,30,26,3035,2982,49,25,21,24,19,27,2,2,3038,2985,2949,2912,40,15,5,8,14,23,1,1,29,26,2977,2938,49,24,20,21,19,26,2,2,58,49,57,44,0,1,0,3,0,1,0,0,1,0,58,44,0,1,1,3,0,1,0,0
050,29,071,Missouri,Franklin County,1,7,5698,2918,2780,2830,2721,33,15,9,6,15,17,0,2,31,19,2860,2740,41,20,24,15,24,23,0,2,2870,2750,2786,2692,33,15,8,5,15,17,0,2,28,19,2813,2711,39,20,22,14,24,23,0,2,48,30,44,29,0,0,1,1,0,0,0,0,3,0,47,29,2,0,2,1,0,0,0,0
050,29,071,Missouri,Franklin County,1,8,6147,3042,3105,2971,3022,27,20,11,10,9,23,0,2,24,28,2995,3049,32,26,25,31,15,26,1,2,3002,3062,2933,2981,27,20,9,10,9,23,0,1,24,27,2957,3007,32,26,23,30,15,26,1,1,40,43,38,41,0,0,2,0,0,0,0,1,0,1,38,42,0,0,2,1,0,0,0,1
050,29,071,Missouri,Franklin County,1,9,7011,3453,3558,3377,3464,23,20,13,15,15,25,1,5,24,29,3401,3492,26,22,33,38,15,31,2,7,3415,3514,3344,3425,22,20,10,11,15,25,0,5,24,28,3368,3453,25,21,30,33,15,30,1,7,38,44,33,39,1,0,3,4,0,0,1,0,0,1,33,39,1,1,3,5,0,1,1,0
